character_name,story_name,primary_archetype,match_type,imdb_tconst,imdb_titleType,imdb_primaryTitle,imdb_startYear,imdb_genres
Chad Danforth,High School Musical,Brute-Adventurer,exact,tt0475293,tvMovie,High School Musical,2006.0,"Comedy,Drama,Family"
Taylor McKessie,High School Musical,Hero,exact,tt0475293,tvMovie,High School Musical,2006.0,"Comedy,Drama,Family"
Archie Andrews,Riverdale,Adventurer-Brute,exact,tt0125643,tvSeries,Riverdale,1997.0,"Drama,Mystery"
Betty Cooper,Riverdale,Diva-Hero,exact,tt0125643,tvSeries,Riverdale,1997.0,"Drama,Mystery"
Veronica Lodge,Riverdale,Adventurer-Demon-Hero,exact,tt0125643,tvSeries,Riverdale,1997.0,"Drama,Mystery"
Jughead Jones,Riverdale,Geek-Hero-Outcast,exact,tt0125643,tvSeries,Riverdale,1997.0,"Drama,Mystery"
Kevin Keller,Riverdale,Adventurer-Diva-Angel,exact,tt0125643,tvSeries,Riverdale,1997.0,"Drama,Mystery"
Cheryl Blossom,Riverdale,Adventurer-Hero-Demon,exact,tt0125643,tvSeries,Riverdale,1997.0,"Drama,Mystery"
Alice Cooper,Riverdale,Hero-Diva-Demon,exact,tt0125643,tvSeries,Riverdale,1997.0,"Drama,Mystery"
Hiram Lodge,Riverdale,Hero-Demon,exact,tt0125643,tvSeries,Riverdale,1997.0,"Drama,Mystery"
Toni Topaz,Riverdale,Lone Wolf-Adventurer-Hero,exact,tt0125643,tvSeries,Riverdale,1997.0,"Drama,Mystery"
Reggie Mantle,Riverdale,Adventurer-Brute-Demon,exact,tt0125643,tvSeries,Riverdale,1997.0,"Drama,Mystery"
Hermione Lodge,Riverdale,Diva-Demon-Hero,exact,tt0125643,tvSeries,Riverdale,1997.0,"Drama,Mystery"
FP Jones,Riverdale,Hero-Demon-Lone Wolf,exact,tt0125643,tvSeries,Riverdale,1997.0,"Drama,Mystery"
Fangs Fogarty,Riverdale,Lone Wolf-Demon-Adventurer,exact,tt0125643,tvSeries,Riverdale,1997.0,"Drama,Mystery"
Tom Keller,Riverdale,Brute-Hero-Traditionalist,exact,tt0125643,tvSeries,Riverdale,1997.0,"Drama,Mystery"
Pop Tate,Riverdale,Angel,exact,tt0125643,tvSeries,Riverdale,1997.0,"Drama,Mystery"
Alan Shore,Boston Legal,Demon-Adventurer-Hero,exact,tt0402711,tvSeries,Boston Legal,2004.0,"Comedy,Crime,Drama"
