story_name,match_type,imdb_tconst,imdb_titleType,imdb_primaryTitle,imdb_startYear,imdb_endYear,imdb_runtimeMinutes,imdb_genres
"Monsters, Inc.",exact,tt0198781,movie,"Monsters, Inc.",2001.0,,92.0,"Adventure,Animation,Comedy"
Star Trek: The Next Generation,exact,tt0092455,tvSeries,Star Trek: The Next Generation,1987.0,1994.0,45.0,"Action,Adventure,Drama"
Maleficent,exact,tt1587310,movie,Maleficent,2014.0,,97.0,"Adventure,Drama,Family"
One Flew Over the Cuckoo's Nest,exact,tt0073486,movie,One Flew Over the Cuckoo's Nest,1975.0,,133.0,Drama
Cowboy Bebop,exact,tt0213338,tvSeries,Cowboy Bebop,1998.0,1999.0,24.0,"Action,Adventure,Animation"
Back to the Future,exact,tt0088763,movie,Back to the Future,1985.0,,116.0,"Adventure,Comedy,Sci-Fi"
Scrubs,exact,tt0285403,tvSeries,Scrubs,2001.0,2010.0,30.0,"Comedy,Drama"
Mr. Robot,exact,tt4158110,tvSeries,Mr. Robot,2015.0,2019.0,45.0,"Crime,Drama,Thriller"
Green Book,exact,tt6966692,movie,Green Book,2018.0,,130.0,"Biography,Comedy,Drama"
Groundhog Day,exact,tt0107048,movie,Groundhog Day,1993.0,,101.0,"Comedy,Drama,Fantasy"
The Umbrella Academy,exact,tt1312171,tvSeries,The Umbrella Academy,2019.0,2024.0,60.0,"Action,Adventure,Comedy"
Parasite,exact,tt0084472,movie,Parasite,1982.0,,85.0,"Horror,Sci-Fi"
Sense and Sensibility,exact,tt0254768,tvSeries,Sense and Sensibility,1971.0,1971.0,178.0,"Drama,Romance"
Frozen,exact,tt0125279,movie,Frozen,1996.0,,99.0,Drama
Succession,exact,tt0254490,movie,Succession,1992.0,,119.0,Drama
Brooklyn Nine-Nine,exact,tt2467372,tvSeries,Brooklyn Nine-Nine,2013.0,2021.0,22.0,"Comedy,Crime"
The Big Sick,exact,tt5462602,movie,The Big Sick,2017.0,,120.0,"Comedy,Drama,Romance"
Smallville,exact,tt0279600,tvSeries,Smallville,2001.0,2011.0,60.0,"Action,Adventure,Drama"
Se7en,exact,tt5883564,short,Se7en,2016.0,,8.0,"Comedy,Horror,Short"
Good Will Hunting,exact,tt0119217,movie,Good Will Hunting,1997.0,,126.0,"Drama,Romance"
Transformers,exact,tt0834963,short,Transformers,2006.0,,38.0,"Comedy,Short"
Amélie,exact,tt0211915,movie,Amélie,2001.0,,122.0,"Comedy,Romance"
Gone With the Wind,exact,tt0031381,movie,Gone with the Wind,1939.0,,238.0,"Drama,Romance,War"
Fight Club,exact,tt0137523,movie,Fight Club,1999.0,,139.0,"Crime,Drama,Thriller"
A Series of Unfortunate Events,exact,tt0339291,movie,A Series of Unfortunate Events,2004.0,,108.0,"Adventure,Comedy,Family"
Fast & Furious,exact,tt1013752,movie,Fast & Furious,2009.0,,107.0,"Action,Thriller"
Forrest Gump,exact,tt0109830,movie,Forrest Gump,1994.0,,142.0,"Drama,Romance"
After Life,exact,tt0165078,movie,After Life,1998.0,,119.0,"Drama,Fantasy"
New Girl,exact,tt3002570,short,New Girl,1970.0,,6.0,"Animation,Short"
The Flash,exact,tt0333460,short,The Flash,1915.0,,,"Drama,Short"
A Nightmare on Elm Street,exact,tt0087800,movie,A Nightmare on Elm Street,1984.0,,91.0,Horror
Finding Nemo,exact,tt0266543,movie,Finding Nemo,2003.0,,100.0,"Adventure,Animation,Comedy"
Better Call Saul,exact,tt3032476,tvSeries,Better Call Saul,2015.0,2022.0,45.0,"Crime,Drama"
How I Met Your Mother,exact,tt0460649,tvSeries,How I Met Your Mother,2005.0,2014.0,22.0,"Comedy,Drama,Romance"
It's Always Sunny in Philadelphia,exact,tt0472954,tvSeries,It's Always Sunny in Philadelphia,2005.0,,22.0,Comedy
